"Timestamp","Ikä?","Sarja johon kirjaudun","Olen juossut viimeisen vuoden aikana","Viimeisen vuoden aikana teen vähintään puolituntia kestävää liikuntaa","Viimeisin Cooper-tulokseni (valitse lähin)","Olen treenannut","Useimmiten treenaan","Kovan treenin ohessa","Tavoitteenani on","Haaveissani olisi","Isoimmat esteet haaveilleni ovat kaiketi","Uusilla reiteillä seuraan","Olen käynyt yhteislenkillä","Yhteislenkki oli (jos osallistuit)","Minulle käteviä treenipaikkoja olisivat","Käyn treeneissä yleensä","Paras ajoitus olisi (kellonaika) - [puhelin vaakatasoon] [Maanantai]","Paras ajoitus olisi (kellonaika) - [puhelin vaakatasoon] [Tiistai]","Paras ajoitus olisi (kellonaika) - [puhelin vaakatasoon] [Keskiviikko]","Paras ajoitus olisi (kellonaika) - [puhelin vaakatasoon] [Torstai]","Paras ajoitus olisi (kellonaika) - [puhelin vaakatasoon] [Perjantai]","Paras ajoitus olisi (kellonaika) - [puhelin vaakatasoon] [Lauantai]","Paras ajoitus olisi (kellonaika) - [puhelin vaakatasoon] [Sunnuntai]","Treenimääränä minusta olisi optimaalinen","Treenin tehokkuus tulisi olla mielestäni","Treenimaaston tulisi sisältää","Treeneistä tulisi ilmoittaa","Korona on vaikuttanut","Parasta yhteistoimintaa on ollut","Lisäksi haluaisin","Harrastan myös"
"2023/12/28 9:35:10 PM GMT+2","30-40","miehet","puolimaratonin","viidesti viikossa","3300m","Mäkeä (kävellen/sauvoilla);Mäkeä juosten ylös;Nopeaa kävelyä (speed hike);Pitkiksiä;Voimaa;Peruskestävyyttä;Monipuolisesti eri lajeja","Yksin","Jäähdyttely (hölkkä);Muistan juoda;Tankkaan energiaa","nauttia luonnosta;kehittää nopeuttani juoksijana;lisätä juoksumatkaa;voittaa itselleni asettamat haasteet;käydä läpi useita luonnon tarjoamia nähtävyyksiä","kisaaminen;polkujuoksu pohjoisessa suomessa","Ajanpuute;Ruuhkavuodet;Vuorotyö ja epäsäännölliset vapaat rasittaa. ","järjestäjän merkkejä;merkattuja reittejä","En","","Halssila;Kanavuori;Kangaslampi;Leppävesi;Touruvuori;Vaajakoski;Vihtavuori","juoksen alkulämpät","19-21","19-21","19-21","19-21","19-21","10-12","10-12","1 h 30 min;2 h","peruskestävyys hölkkää niin ettei sykkeet nouse","paljon verttimetrejä","viikkoa aiemmin;kaksi viikkoa aiemmin jotta kerkeää järjestellä aikaa","Ei ole vaikuttanut","Facebook-läppä;Juoksublogit tai tarinat","Useammin backyard ultran","Hiihto;Maastopyöräily;Maantiepyöräily;Retkeily"
"2023/12/28 9:41:42 PM GMT+2","40-50","naiset","maratonin","kuudesti viikossa","2300m","Mäkeä (kävellen/sauvoilla);Pitkiksiä;Voimaa;Peruskestävyyttä;Monipuolisesti eri lajeja","Yksin","Lämmittelen lihakset;Jäähdyttely (hölkkä);Käytän hierontapalveluita;Muistan juoda;Tankkaan energiaa","nauttia luonnosta;kehittää nopeuttani juoksijana;lisätä juoksumatkaa;tutustua uusiin paikkoihin liikunnan keinoin;voittaa itselleni asettamat haasteet;löytää mahdollisimman paljon polkuja;käydä läpi useita luonnon tarjoamia nähtävyyksiä","uskaltaa juosta lähimetsän ulkopuolella ilman kaveria;läheiset kansallispuistot;pidempi yhtenäinen juoksuvaellus;kisaaminen;polkujuoksu pohjoisessa suomessa","Määrärahojen puute;Ajanpuute;Kaverin puute;Ruuhkavuodet","järjestäjän merkkejä;gps-reittiä","Joo","ihan sopiva kaikin puolin ja mukava;liian lyhyt;liikaa kävelyä","Halssila;Kanavuori;Kangaslampi;Kuolemankuopat;Laajis;Ladun maja;Leppävesi;Nuutti;Sarvenperä;Touruvuori;Vaajakoski;Vesanka, Ruoke","omalla autolla","17-19","","17-19","17-19","","10-12;12-15","10-12;12-15","1 h 30 min;2 h;2 h 30 min;yli 3 h","sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä);vetotreenejä;mäkitreeniä;pitkää raastoa;intervalleja","helppoa neulaspolkua;paljon verttimetrejä;nelivetopaikkoja;rymypätkiä;kivikkoa;juurakkoa;suota","muutama päivä aiemmin riittää;viikkoa aiemmin","En ole uskaltanut osallistua","Yhteislenkit;Juoksukaverit;Pikkujoulut;Juoksublogit tai tarinat","Enemmän yhteislenkkejä;Enemmän yhteisiä pitkiksiä;Enemmän tasolenkkejä (eri vauhtiryhmät);Enemmän yhteisiä juoksuvaelluksia","Gravel-pyöräily;Hiihto;Jumppa;Maastopyöräily;Maantiepyöräily;Rogain;Ratsastus;Seikkailu-urheilu;Suunnistus"
"2023/12/28 10:25:43 PM GMT+2","30-40","miehet","1km lenkin;5km lenkin","noin kerran viikossa","","Peruskestävyyttä","Yksin","Lämmittelen lihakset;Suorituksen jälkeinen lihashuolto (venyttely/rullailu);Muistan juoda;Tankkaan energiaa","nauttia luonnosta;kehittää nopeuttani juoksijana;lisätä juoksumatkaa;tutustua uusiin paikkoihin liikunnan keinoin;voittaa itselleni asettamat haasteet","kisaaminen","Ajanpuute;Laiskuus;Ruuhkavuodet","mobiilikarttaa","Joo","ihan sopiva kaikin puolin ja mukava","Kauramäki;Köhniö;Myllyjärvi;Mäyrämäki;Mustalampi, Hanhiperä","juoksen alkulämpät;pyörällä;omalla autolla","","","19-21","","","","","1 h 30 min","maltillinen hölkkä hitaimman mukaan;peruskestävyys hölkkää niin ettei sykkeet nouse;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä)","helppoa neulaspolkua;rymypätkiä;kivikkoa;juurakkoa;suota","muutama päivä aiemmin riittää","Ei ole vaikuttanut","","Enemmän yhteislenkkejä",""
"2023/12/28 10:37:44 PM GMT+2","30-40","naiset","ultran","viidesti viikossa","","Mäkeä (kävellen/sauvoilla);Alamäkijuoksu;Pitkiksiä;Voimaa;Peruskestävyyttä;Monipuolisesti eri lajeja","Yksin","Lämmittelen lihakset;Jäähdyttely (hölkkä);Muistan juoda;Tankkaan energiaa;Olen hankkinut ohjausta (valmennus)","nauttia luonnosta;kehittää nopeuttani juoksijana;lisätä juoksumatkaa;tutustua uusiin paikkoihin liikunnan keinoin;tutustua uusiin ihmisiin ja treenikavereihin;käydä läpi useita luonnon tarjoamia nähtävyyksiä","läheiset kansallispuistot;pidempi yhtenäinen juoksuvaellus;polkujuoksu pohjoisessa suomessa;polku- tai vuorijuoksu ulkomailla","En uskalla kulkea uusilla reiteillä yksin;Ajanpuute;Ruuhkavuodet","järjestäjän merkkejä;merkattuja reittejä;mobiilikarttaa","Joo","ihan sopiva kaikin puolin ja mukava","Halssila;Kanavuori;Keljonkangas;Kuolemankuopat;Ladun maja;Mäyrämäki;Muurame;Touruvuori","pyörällä;linkillä;toisen kyydillä;omalla autolla","17-19;19-21","17-19;19-21","17-19;19-21","17-19;19-21","17-19;19-21","10-12;12-15;15-17;17-19","10-12;12-15;15-17;17-19","1 h 30 min;2 h;2 h 30 min;yli 3 h","maltillinen hölkkä hitaimman mukaan;peruskestävyys hölkkää niin ettei sykkeet nouse;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä);vetotreenejä;mäkitreeniä;intervalleja","helppoa neulaspolkua;paljon verttimetrejä;nelivetopaikkoja;rymypätkiä;kivikkoa;juurakkoa;suota","muutama päivä aiemmin riittää","En ole uskaltanut osallistua","Kisamatkat ja yhteismajoitukset;Yhteislenkit;Juoksukaverit;Pikkujoulut;Facebook-läppä","Enemmän yhteislenkkejä;Enemmän yhteisiä reissuja lähikuntiin;Enemmän yhteisiä pitkiksiä;Enemmän yhteisiä juoksuvaelluksia;Enemmän yhteisiä tunkkausmättöjä","Hiihto;Jumppa;Laskettelu;Lumikenkäily;Maastopyöräily;Melonta;Retkiluistelu;Retkeily;Salibändy;Suppailu;Uinti"
"2023/12/28 10:43:46 PM GMT+2","50-60","miehet","1km lenkin;5km lenkin;10km lenkin;puolimaratonin;maratonin;ultran","10 kertaa viikossa","2700m","Mäkeä (kävellen/sauvoilla);Mäkeä juosten ylös;Alamäkijuoksu;Nopeaa kävelyä (speed hike);Vetoja;Pitkiksiä;Voimaa;Peruskestävyyttä;Monipuolisesti eri lajeja","Yksin","Lämmittelen lihakset;Jäähdyttely (hölkkä);Muistan juoda;Tankkaan energiaa","nauttia luonnosta;kehittää nopeuttani juoksijana;lisätä juoksumatkaa;tutustua uusiin paikkoihin liikunnan keinoin;voittaa itselleni asettamat haasteet;tutustua uusiin ihmisiin ja treenikavereihin;käydä läpi useita luonnon tarjoamia nähtävyyksiä","pidempi yhtenäinen juoksuvaellus;kisaaminen;polkujuoksu pohjoisessa suomessa;polku- tai vuorijuoksu ulkomailla;UTMB kisa","Ajanpuute;Kaverin puute;Kulkuyhteydet","järjestäjän merkkejä;merkattuja reittejä;gps-reittiä;mobiilikarttaa;suuntaa auringosta;olen oman tieni kulkija","Joo","ihan sopiva kaikin puolin ja mukava","Halssila","juoksen alkulämpät;omalla autolla","10-12;12-15","10-12;12-15","10-12;12-15","10-12;12-15","10-12;12-15","7-10;10-12","7-10;10-12","1 h 30 min;2 h;2 h 30 min;yli 3 h","peruskestävyys hölkkää niin ettei sykkeet nouse;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä);vetotreenejä;mäkitreeniä;intervalleja","helppoa neulaspolkua;paljon verttimetrejä;kivikkoa;juurakkoa","viikkoa aiemmin;kaksi viikkoa aiemmin jotta kerkeää järjestellä aikaa","Ei ole vaikuttanut","Juoksukaverit","Enemmän yhteislenkkejä;Enemmän yhteisiä pitkiksiä;Enemmän tasolenkkejä (eri vauhtiryhmät);Enemmän yhteisiä voimatreenejä;Enemmän yhteisiä juoksuvaelluksia","Hiihto;Jumppa;Laskettelu;Lumikenkäily;Maastopyöräily;Maantiepyöräily;Melonta;Retkiluistelu;Triathlon;Juoksu"
"2023/12/28 10:48:47 PM GMT+2","20-30","naiset","puolimaratonin","seitsemästi viikossa","2300m","Mäkeä (kävellen/sauvoilla);Mäkeä juosten ylös;Alamäkijuoksu;Vetoja;Pitkiksiä;Voimaa;Peruskestävyyttä;Monipuolisesti eri lajeja","Yksin","Lämmittelen lihakset;Suorituksen jälkeinen lihashuolto (venyttely/rullailu);Muistan juoda;Tankkaan energiaa","nauttia luonnosta;lisätä juoksumatkaa;tutustua uusiin paikkoihin liikunnan keinoin;voittaa itselleni asettamat haasteet","pidempi yhtenäinen juoksuvaellus;kisaaminen;polkujuoksu pohjoisessa suomessa","Määrärahojen puute;Laiskuus","merkattuja reittejä;olen oman tieni kulkija","Joo","liian hidas;ihme rymyämistä;liikaa kävelyä","Kuolemankuopat;Touruvuori","pyörällä;omalla autolla","17-19;19-21","17-19;19-21","17-19;19-21","17-19;19-21","17-19;19-21","","","1 h 30 min;2 h","peruskestävyys hölkkää niin ettei sykkeet nouse","helppoa neulaspolkua;vain pieniä mäkiä","muutama päivä aiemmin riittää","Ei ole vaikuttanut","Yhteislenkit","Enemmän yhteislenkkejä;Enemmän yhteisiä pitkiksiä;Enemmän tasolenkkejä (eri vauhtiryhmät)","Hiihto;Jumppa;Maantiepyöräily;Retkeily;Uinti"
"2023/12/28 10:56:35 PM GMT+2","40-50","naiset","5km lenkin;10km lenkin;puolimaratonin","kolmesti viikossa","Ei tulosta","Peruskestävyyttä","Kaksin","Suorituksen jälkeinen lihashuolto (venyttely/rullailu);Muistan juoda","nauttia luonnosta;lisätä juoksumatkaa;voittaa itselleni asettamat haasteet","läheiset kansallispuistot","Ajanpuute;Ruuhkavuodet;Fyysiset rajoitteet","merkattuja reittejä","Joo","ihan sopiva kaikin puolin ja mukava","Halssila;Keljonkangas;Köhniö;Laajis;Ladun maja;Leppävesi;Myllyjärvi;Mäyrämäki;Muurame;Touruvuori;Vaajakoski","omalla autolla","19-21","19-21","19-21","19-21","","","","1 h;1 h 30 min","maltillinen hölkkä hitaimman mukaan;peruskestävyys hölkkää niin ettei sykkeet nouse","helppoa neulaspolkua;suota","viikkoa aiemmin","Ei ole vaikuttanut","Yhteislenkit","Enemmän yhteislenkkejä;Enemmän tasolenkkejä (eri vauhtiryhmät)","Hiihto;Jumppa;Laskettelu;Retkeily"
"2023/12/28 11:15:59 PM GMT+2","40-50","miehet","maratonin","viidesti viikossa","","Mäkeä juosten ylös;Alamäkijuoksu;Vetoja;Voimaa;Peruskestävyyttä;Monipuolisesti eri lajeja","Kaksin","Lämmittelen lihakset;Muistan juoda;Tankkaan energiaa","nauttia luonnosta;kehittää nopeuttani juoksijana;tutustua uusiin paikkoihin liikunnan keinoin;voittaa itselleni asettamat haasteet;löytää mahdollisimman paljon polkuja;käydä läpi useita luonnon tarjoamia nähtävyyksiä","","","järjestäjän merkkejä;merkattuja reittejä;gps-reittiä;olen oman tieni kulkija","Joo","ihan sopiva kaikin puolin ja mukava","Halssila;Kanavuori;Kangaslampi;Kauramäki;Keskusta;Keljonkangas;Kuokkala;Kuolemankuopat;Köhniö;Laajis;Ladun maja;Leppävesi;Myllyjärvi;Mäyrämäki;Muurame;Nuutti;Sarvenperä;Sippulanniemi;Touruvuori;Vaajakoski;Vesanka, Ruoke","omalla autolla","17-19","17-19","17-19","17-19","17-19","10-12","10-12","1 h 30 min;2 h","sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä);mäkitreeniä;oksennukseen asti;intervalleja","nelivetopaikkoja;rymypätkiä;kivikkoa;juurakkoa;suota","viikkoa aiemmin","Ei ole vaikuttanut","Yhteislenkit","Enemmän yhteisiä pitkiksiä;Useammin backyard ultran;Enemmän yhteisiä tunkkausmättöjä","Hiihto;Jumppa;Laskettelu;Maastopyöräily;Suppailu;Frisbeegolf "
"2023/12/28 11:29:47 PM GMT+2","40-50","miehet","maratonin","seitsemästi viikossa","Ei tulosta","Mäkeä (kävellen/sauvoilla);Mäkeä juosten ylös;Alamäkijuoksu;Vetoja;Pitkiksiä;Voimaa;Peruskestävyyttä;Monipuolisesti eri lajeja","Yksin","Lämmittelen lihakset;Suorituksen jälkeinen lihashuolto (venyttely/rullailu);Jäähdyttely (hölkkä);Käytän hierontapalveluita;Muistan juoda;Tankkaan energiaa","nauttia luonnosta","läheiset kansallispuistot","Ajanpuute;Ruuhkavuodet","olen oman tieni kulkija","Joo","ihan sopiva kaikin puolin ja mukava","Halssila;Kanavuori;Kangaslampi;Keljonkangas;Kuokkala;Sippulanniemi;Vaajakoski","juoksen alkulämpät;pyörällä;toisen kyydillä;omalla autolla","","19-21","","","","10-12","15-17","1 h 30 min","maltillinen hölkkä hitaimman mukaan","helppoa neulaspolkua;kivikkoa;juurakkoa","viikkoa aiemmin","Ei ole vaikuttanut","Yhteislenkit;Facebook-läppä;Juoksublogit tai tarinat","Enemmän yhteisiä voimatreenejä;Enemmän yhteisiä saunailtoja","Gravel-pyöräily;Hiihto;Jumppa;Maastopyöräily;Suppailu"
"2023/12/28 11:40:15 PM GMT+2","50-60","miehet","maratonin","8 kertaa viikossa","2800m","Mäkeä (kävellen/sauvoilla);Mäkeä juosten ylös;Alamäkijuoksu;Vetoja;Pitkiksiä;Voimaa;Peruskestävyyttä;Monipuolisesti eri lajeja;Uinti, pyöräily","Yksin","Lämmittelen lihakset;Suorituksen jälkeinen lihashuolto (venyttely/rullailu);Jäähdyttely (hölkkä)","nauttia luonnosta;kehittää nopeuttani juoksijana;lisätä juoksumatkaa;tutustua uusiin paikkoihin liikunnan keinoin;voittaa itselleni asettamat haasteet;käydä läpi useita luonnon tarjoamia nähtävyyksiä;löytää polulta elämäni rakkaus","pidempi yhtenäinen juoksuvaellus;kisaaminen;polkujuoksu pohjoisessa suomessa;polku- tai vuorijuoksu ulkomailla","Kaverin puute;Laiskuus","järjestäjän merkkejä;merkattuja reittejä;gps-reittiä;mobiilikarttaa;paperikarttaa ja kompassia","En","","Kauramäki;Keljonkangas;Ladun maja;Sippulanniemi","","17-19","17-19","17-19","17-19","17-19;19-21","10-12;12-15;15-17;17-19;19-21","10-12;12-15;15-17;17-19","30 min;45 min;1 h;1 h 30 min;2 h;2 h 30 min;yli 3 h","maltillinen hölkkä hitaimman mukaan;peruskestävyys hölkkää niin ettei sykkeet nouse;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä);vetotreenejä;mäkitreeniä;pitkää raastoa;intervalleja","helppoa neulaspolkua;vain pieniä mäkiä;paljon verttimetrejä;nelivetopaikkoja;rymypätkiä;kivikkoa;juurakkoa;suota","muutama päivä aiemmin riittää","Ei ole vaikuttanut","","Enemmän yhteislenkkejä;Enemmän yhteisiä reissuja lähikuntiin;Enemmän yhteisiä pitkiksiä;Enemmän tasolenkkejä (eri vauhtiryhmät);Enemmän yhteisiä voimatreenejä;Enemmän yhteisiä juoksuvaelluksia;Enemmän yhteisiä saunailtoja;Enemmän yhteisiä tunkkausmättöjä;Enemmän yhteisiä juoksuleirejä (esim. vuokratupa)","Hiihto;Maastopyöräily;Maantiepyöräily;Retkiluistelu;Suunnistus;Triathlon;Uinti"
"2023/12/28 11:45:41 PM GMT+2","50-60","naiset","10km lenkin","kolmesti viikossa","2300m","Peruskestävyyttä;Monipuolisesti eri lajeja","Kaksin","Suorituksen jälkeinen lihashuolto (venyttely/rullailu);Käytän hierontapalveluita;Muistan juoda","nauttia luonnosta;tutustua uusiin paikkoihin liikunnan keinoin;löytää mahdollisimman paljon polkuja;käydä läpi useita luonnon tarjoamia nähtävyyksiä","pidempi yhtenäinen juoksuvaellus;polkujuoksu pohjoisessa suomessa","Ajanpuute;Ruuhkavuodet","mobiilikarttaa;paperikarttaa ja kompassia;olen oman tieni kulkija","En","","Köhniö;Laajis;Ladun maja;Vesanka, Ruoke","omalla autolla","","19-21","19-21","19-21","","","","1 h","maltillinen hölkkä hitaimman mukaan;peruskestävyys hölkkää niin ettei sykkeet nouse","helppoa neulaspolkua;vain pieniä mäkiä;kivikkoa;juurakkoa;suota","muutama päivä aiemmin riittää;viikkoa aiemmin","","","","Hiihto;Lumikenkäily;Maastopyöräily;Maantiepyöräily;Retkeily;Suppailu;Uinti"
"2023/12/28 11:46:10 PM GMT+2","30-40","miehet","1km lenkin;5km lenkin;10km lenkin;puolimaratonin","kolmesti viikossa","Ei tulosta","Mäkeä (kävellen/sauvoilla);Mäkeä juosten ylös;Alamäkijuoksu;Nopeaa kävelyä (speed hike);Vetoja;Pitkiksiä;Voimaa;Peruskestävyyttä","Yksin","Lämmittelen lihakset;Jäähdyttely (hölkkä);Käytän hierontapalveluita;Muistan juoda;Tankkaan energiaa;Olen hankkinut ohjausta (valmennus)","nauttia luonnosta;kehittää nopeuttani juoksijana;lisätä juoksumatkaa;voittaa itselleni asettamat haasteet","pidempi yhtenäinen juoksuvaellus;kisaaminen;polku- tai vuorijuoksu ulkomailla","Terveys (ollut ongelmia…)","järjestäjän merkkejä;mobiilikarttaa;olen oman tieni kulkija","Joo","liian hidas;liikaa kävelyä","Keskusta;Köhniö;Laajis","juoksen alkulämpät;pyörällä;omalla autolla","17-19","17-19","17-19","17-19","","12-15","12-15","45 min;1 h;1 h 30 min","peruskestävyys hölkkää niin ettei sykkeet nouse;vetotreenejä;mäkitreeniä","paljon verttimetrejä;kivikkoa;juurakkoa","viikkoa aiemmin;kaksi viikkoa aiemmin jotta kerkeää järjestellä aikaa;kuukausi etukäteen","En ole päässyt osallistumaan","","Enemmän yhteislenkkejä;Enemmän yhteisiä reissuja lähikuntiin;Enemmän yhteisiä juoksuvaelluksia;Enemmän yhteisiä tunkkausmättöjä","Kiipeily tai boulderointi;Lumikenkäily;Retkeily;Umpihankihiihto"
"2023/12/29 1:44:34 AM GMT+2","40-50","naiset","maratonin","kolmesti viikossa","Ei tulosta","Pitkiksiä;Peruskestävyyttä;Monipuolisesti eri lajeja","Yksin","Suorituksen jälkeinen lihashuolto (venyttely/rullailu);Jäähdyttely (hölkkä);Käytän hierontapalveluita;Muistan juoda;Tankkaan energiaa","nauttia luonnosta;kehittää nopeuttani juoksijana;lisätä juoksumatkaa;tutustua uusiin paikkoihin liikunnan keinoin;voittaa itselleni asettamat haasteet;tutustua uusiin ihmisiin ja treenikavereihin;löytää mahdollisimman paljon polkuja;käydä läpi useita luonnon tarjoamia nähtävyyksiä;löytää polulta elämäni rakkaus","pidempi yhtenäinen juoksuvaellus;polkujuoksu pohjoisessa suomessa","Määrärahojen puute;Ajanpuute;Ruuhkavuodet;Yksinhuoltajuus","mobiilikarttaa;paperikarttaa ja kompassia;olen oman tieni kulkija","En","","Laajis;Ladun maja;Sarvenperä;Sippulanniemi;Vesanka, Ruoke","Lähden treeniin kotipihasta","17-19","17-19","","","","","7-10;10-12","2 h","peruskestävyys hölkkää niin ettei sykkeet nouse;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä)","helppoa neulaspolkua;paljon verttimetrejä;rymypätkiä","kaksi viikkoa aiemmin jotta kerkeää järjestellä aikaa","Ei ole vaikuttanut","","Enemmän yhteisiä pitkiksiä","Gravel-pyöräily;Hiihto;Jumppa;Lumikenkäily;Maastopyöräily;Retkeily;Suunnistus;jooga"
"2023/12/29 4:58:14 AM GMT+2","40-50","naiset","maratonin;ultran","viidesti viikossa","","Vetoja;Pitkiksiä;Voimaa;Peruskestävyyttä;Monipuolisesti eri lajeja","Yksin","Jäähdyttely (hölkkä);Muistan juoda;Tankkaan energiaa","nauttia luonnosta;tutustua uusiin paikkoihin liikunnan keinoin;voittaa itselleni asettamat haasteet","","","mobiilikarttaa;paperikarttaa ja kompassia","Joo","","Halssila;Kanavuori;Vaajakoski","juoksen alkulämpät;pyörällä;linkillä;omalla autolla","","","","","","","","1 h;1 h 30 min","maltillinen hölkkä hitaimman mukaan;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä);vetotreenejä;mäkitreeniä;intervalleja","helppoa neulaspolkua;vain pieniä mäkiä;paljon verttimetrejä;nelivetopaikkoja;rymypätkiä;kivikkoa;juurakkoa;suota","muutama päivä aiemmin riittää","Ei ole vaikuttanut","Kisamatkat ja yhteismajoitukset;Yhteislenkit;Juoksukaverit;Pikkujoulut;Facebook-läppä;Juoksublogit tai tarinat","Enemmän yhteisiä pitkiksiä;Enemmän tasolenkkejä (eri vauhtiryhmät);Enemmän yhteisiä tunkkausmättöjä","Gravel-pyöräily;Hiihto;Retkiluistelu;Rogain;Retkeily;Suunnistus;Kuntosali"
"2023/12/29 6:58:53 AM GMT+2","30-40","naiset","10km lenkin","viidesti viikossa","1700m","Mäkeä (kävellen/sauvoilla);Mäkeä juosten ylös;Alamäkijuoksu;Vetoja;Pitkiksiä;Voimaa;Peruskestävyyttä;Monipuolisesti eri lajeja","Yksin","Lämmittelen lihakset;Jäähdyttely (hölkkä);Olen hankkinut ohjausta (valmennus)","nauttia luonnosta;kehittää nopeuttani juoksijana;lisätä juoksumatkaa;löytää mahdollisimman paljon polkuja","pidempi yhtenäinen juoksuvaellus;polkujuoksu pohjoisessa suomessa","Ajanpuute;Kaverin puute;Kulkuyhteydet;Laiskuus;Ruuhkavuodet","järjestäjän merkkejä;merkattuja reittejä;gps-reittiä;mobiilikarttaa","En","","Halssila;Kanavuori;Keskusta;Kuokkala;Sippulanniemi;Vaajakoski","omalla autolla","17-19","17-19","","17-19","17-19","","","45 min;1 h;1 h 30 min","maltillinen hölkkä hitaimman mukaan;peruskestävyys hölkkää niin ettei sykkeet nouse","helppoa neulaspolkua;vain pieniä mäkiä;rymypätkiä","muutama päivä aiemmin riittää;viikkoa aiemmin","Ei ole vaikuttanut","Facebook-läppä","","Gravel-pyöräily;Hiihto;Jumppa;Maastopyöräily;Maantiepyöräily;Retkiluistelu;Rogain;Suunnistus"
"2023/12/29 8:12:21 AM GMT+2","20-30","naiset","5km lenkin","viidesti viikossa","2000m","Peruskestävyyttä;Monipuolisesti eri lajeja","Yksin","Suorituksen jälkeinen lihashuolto (venyttely/rullailu);Käytän hierontapalveluita;Muistan juoda;Tankkaan energiaa","nauttia luonnosta;tutustua uusiin ihmisiin ja treenikavereihin;löytää mahdollisimman paljon polkuja;käydä läpi useita luonnon tarjoamia nähtävyyksiä","läheiset kansallispuistot;polkujuoksu pohjoisessa suomessa","Ajanpuute;Kaverin puute","merkattuja reittejä;olen oman tieni kulkija","Joo","ihan sopiva kaikin puolin ja mukava;minun tasolleni liian nopea","Kauramäki;Keskusta;Keljonkangas;Kuokkala;Ladun maja;Myllyjärvi;Muurame;Sippulanniemi","pyörällä;linkillä;omalla autolla","5-7;17-19;19-21","5-7;17-19;19-21","5-7;17-19;19-21","5-7;17-19;19-21","5-7;17-19;19-21","5-7;7-10","5-7;7-10","1 h;1 h 30 min","peruskestävyys hölkkää niin ettei sykkeet nouse;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä);mäkitreeniä;intervalleja","helppoa neulaspolkua;rymypätkiä;kivikkoa;juurakkoa;suota","viikkoa aiemmin;kaksi viikkoa aiemmin jotta kerkeää järjestellä aikaa","Ei ole vaikuttanut","Yhteislenkit;Juoksukaverit","Enemmän yhteislenkkejä;Enemmän yhteisiä reissuja lähikuntiin;Enemmän tasolenkkejä (eri vauhtiryhmät)","Maantiepyöräily;Potkukelkkailu;Retkeily"
"2023/12/29 8:32:09 AM GMT+2","50-60","miehet","10km lenkin","neljästi viikossa","","Monipuolisesti eri lajeja","Ryhmässä","","tutustua uusiin ihmisiin ja treenikavereihin","polkujuoksu pohjoisessa suomessa","Ajanpuute","olen oman tieni kulkija","Joo","","","omalla autolla","","19-21","","","","","19-21","1 h 30 min","peruskestävyys hölkkää niin ettei sykkeet nouse","helppoa neulaspolkua;vain pieniä mäkiä;rymypätkiä;kivikkoa","viikkoa aiemmin","Ei ole vaikuttanut","","","Jumppa;Laskettelu"
"2023/12/29 8:49:28 AM GMT+2","30-40","miehet","maratonin","viidesti viikossa","3100m","Mäkeä (kävellen/sauvoilla);Mäkeä juosten ylös;Vetoja;Pitkiksiä;Voimaa;Peruskestävyyttä","Yksin","Lämmittelen lihakset;Käytän hierontapalveluita;Muistan juoda;Tankkaan energiaa;Olen hankkinut ohjausta (valmennus)","nauttia luonnosta;kehittää nopeuttani juoksijana;lisätä juoksumatkaa;tutustua uusiin paikkoihin liikunnan keinoin;voittaa itselleni asettamat haasteet;tutustua uusiin ihmisiin ja treenikavereihin;löytää mahdollisimman paljon polkuja","pidempi yhtenäinen juoksuvaellus;polkujuoksu pohjoisessa suomessa;polku- tai vuorijuoksu ulkomailla","Ruuhkavuodet;Alituiset vammat joiden hoitaminen ja kuntouttaminen on vaikeaa","järjestäjän merkkejä;merkattuja reittejä;mobiilikarttaa;paperikarttaa ja kompassia","Joo","liian hidas;Mutta yleensä mukavaa ja seura hyvää","Kauramäki;Keljonkangas;Ladun maja;Myllyjärvi;Mäyrämäki;Muurame;Kaikki käy mutta nuo ovat lähimpiä","juoksen alkulämpät;omalla autolla","17-19","","19-21","17-19","","12-15","12-15","1 h 30 min;2 h;2 h 30 min;yli 3 h","peruskestävyys hölkkää niin ettei sykkeet nouse;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä);mäkitreeniä;pitkää raastoa;intervalleja","helppoa neulaspolkua;paljon verttimetrejä;rymypätkiä;kivikkoa;juurakkoa","muutama päivä aiemmin riittää;viikkoa aiemmin","Ei ole vaikuttanut","Yhteislenkit;Pikkujoulut","Enemmän yhteislenkkejä;Enemmän yhteisiä pitkiksiä;Useammin backyard ultran;Enemmän tasolenkkejä (eri vauhtiryhmät);Enemmän yhteisiä juoksuvaelluksia;Enemmän yhteisiä tunkkausmättöjä","Hiihto;Jääkiekko;Kaukalopallo;Maantiepyöräily;Rogain;Retkeily;Salibändy;Seikkailu-urheilu;Suunnistus;Puntti, pesäpallo (osa yllä mainituista ei kovin aktiivisia mutta teen jos tilaisuus tulee)"
